STATE,FIPSTATE,SC,CD,REDIST,ACEREGIO,AGE65,BANK,BLACK,BLUCLLR,CITY,COAST,CONSTRUC,CVLLBRFR,DC,ENROLL,FARMER,FEDWRKR,FINANCE,FLOOD,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,LOCLWRKR,MANUF,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,NUCPLANT,POPSQMI,POPULATN,PORT,RURLFARM,STATWRKR,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL
PA,42,14,4,0,4,92867,190400,17920,38699,0,0,14987,259398,0,82990,3125,4433,12954,15.6137875,10703,21745,94068,1323,12410,46285,0,32011,0,0,464,0,427.6712018,565809,,3561,4902,15416,15559,27,321073,0,1402128,57894
PA,42,14,5,0,4,78650,190400,5407,53565,0,0,12633,258701,0,83837,7693,4070,8581,15.6137875,10223,35147,94068,10479,13517,59869,0,28872,0,0,614,0,53.98759424,565736,,12589,17560,8541,16591,27,61507,0,1402128,48422
PA,42,14,6,0,2,95599,190400,13652,65228,0,0,16385,281279,0,75419,5206,3604,14329,28.008056,11481,24413,94068,1901,13325,79269,0,34351,0,0,421,1,297.6975276,565923,,7088,7484,8678,12668,27,217118,0,1402128,56576
PA,42,14,7,0,2,85407,190400,21307,25868,0,0,17451,298825,0,55594,2381,8017,27112,28.008056,29653,25824,94068,303,13703,46120,0,49477,0,0,656,0,1867.376238,565815,23463489,230,4104,12233,9139,27,539089,0,1402128,60120
PA,42,14,8,0,2,60991,190400,15811,37586,0,0,21098,309717,0,74264,3240,7838,23094,28.008056,23305,29158,94068,626,15082,61714,0,48998,1,0,1582,0,903.8658147,565820,,1871,6238,10822,10801,27,441690,0,1402128,68322
PA,42,14,9,0,2,86436,190400,6455,61013,0,0,18913,265147,0,87955,9818,8813,9121,28.008056,4449,33093,94068,6665,13158,57890,0,28913,1,0,982,0,84.89992498,565858,,16312,11122,13004,15753,27,77701,102,1402128,51621
PA,42,14,10,0,2,95231,190400,5856,52055,0,0,18068,266263,0,82783,6473,6939,12909,28.008056,11104,28990,94068,5562,14150,57051,0,30920,1,0,422,0,101.7218626,565777,,7578,7901,10832,14313,27,239616,0,1402128,54158
PA,42,14,11,0,2,105702,190400,5340,55691,0,0,16685,263801,0,72399,3375,6883,12625,28.008056,10272,30287,94068,2374,13790,57356,0,30425,0,0,569,1,238.3327717,565802,,4748,9614,9482,14772,27,206433,337,1402128,53661
PA,42,14,12,0,4,96266,190400,7413,46229,0,0,13735,239950,0,85294,6052,3839,9460,15.6137875,5011,26334,94068,4212,11997,40072,0,26703,0,0,423,0,134.3209877,565760,,7542,10498,10925,19320,27,77639,0,1402128,47924
PA,42,14,13,0,2,87589,190400,34252,28604,0,0,17490,306867,0,58930,2893,5407,27734,28.008056,32064,23975,94068,365,14245,58417,0,52778,1,1,609,0,1549.761644,565663,,580,4323,8456,8790,27,522457,0,1402128,60825
PA,42,14,14,0,4,98846,190400,100732,24315,1,0,12594,267981,0,59526,1270,6986,20287,15.6137875,22024,29590,94068,193,17942,25005,0,32274,0,0,657,0,2931.803109,565838,32197633,14,4662,11528,18224,27,563575,1036,1402128,54662
PA,42,14,15,0,2,85057,190400,12301,50481,0,0,16769,289590,0,75089,2890,3355,16530,28.008056,21688,24737,94068,790,16567,71250,0,38999,0,0,412,0,716.2253165,565818,,2502,4815,10659,11745,27,391258,0,1402128,57486
PA,42,14,16,0,2,67966,190400,29203,46774,0,0,20755,297424,0,75445,10747,4496,17616,28.008056,15832,24372,94068,1279,13025,64480,0,42932,0,0,345,1,442.4612979,565908,,18517,6851,10682,8473,27,293279,543,1402128,62100
PA,42,14,17,0,2,76261,190400,37530,55038,0,0,18252,302329,0,79779,5762,11116,19629,28.008056,10952,46732,94068,1485,13690,58098,0,37251,2,1,1177,1,380.9441077,565702,,9510,21926,14762,10287,27,262921,486,1402128,58165
PA,42,14,18,0,4,104784,190400,43784,27590,0,0,15342,274365,0,64153,1588,7062,22267,15.6137875,14729,25614,94068,264,14425,32862,0,35343,0,0,664,0,2143.07197,565771,,250,4127,12211,14576,27,554352,0,1402128,62534
PA,42,14,19,0,2,75385,190400,14711,63230,0,0,21062,304001,0,80694,5711,10798,15561,28.008056,8909,33574,94068,1926,13483,74169,0,37542,2,0,1708,0,293.7637591,565789,,10212,9293,12727,9796,27,212312,0,1402128,64096
PA,42,14,20,0,4,96082,190400,17989,35701,0,0,15530,253653,0,80080,2999,4474,13378,15.6137875,9571,26187,94068,2136,13287,37358,0,31949,0,0,497,1,264.8824906,565789,,4408,8426,13936,17732,27,306348,0,1402128,56677
PA,42,14,21,0,4,83625,190400,21737,49211,0,0,11820,264432,0,83008,5294,4346,11221,15.6137875,9291,25611,94068,2784,13225,62960,0,31144,0,0,488,0,203.2349138,565806,,9607,8040,9783,16587,27,224308,293,1402128,54220
IL,17,21,1,0,7,80543,212000,397994,30860,1,1,7740,259745,0,82750,628,12329,20001,7.0284035,26990,52400,399,55,31583,26713,0,30644,0,0,429,0,10398.32727,571908,,0,8488,17591,32671,27.5,571908,0,1125388,37628
IL,17,21,2,0,7,54804,212000,391200,41669,1,1,9235,273582,0,104411,872,13188,19742,7.0284035,24342,48075,399,124,25270,36704,0,33794,0,0,564,0,4614.419355,572188,,12,9617,22683,34104,27.5,571122,0,1125388,46297
IL,17,21,3,0,7,92519,212000,10869,44360,1,0,16766,296879,0,60723,1341,4731,25005,7.0284035,56563,30161,399,126,20764,52967,0,42405,0,0,247,0,4530.968254,570902,,0,4666,20071,13991,27.5,570649,0,1125388,66993
IL,17,21,4,0,7,43707,212000,35374,75280,1,0,10726,258181,0,107130,2838,3217,11758,7.0284035,185863,18610,399,39,11732,76398,0,25285,0,0,185,0,14645.17949,571162,,0,3661,11066,28219,27.5,571162,371,1125388,51622
IL,17,21,5,0,7,85859,212000,8247,43363,1,1,15999,332958,0,44042,1070,4815,33554,7.0284035,132121,27978,399,52,18265,61207,0,40112,0,0,181,0,10981.78846,571053,,0,4898,14042,17081,27.5,571053,0,1125388,65184
IL,17,21,6,0,7,68228,212000,8168,35513,1,0,18819,326767,0,73009,1515,5438,27564,7.0284035,65299,26040,399,184,16632,62621,0,50729,0,0,302,0,3110.152174,572268,,0,3970,18726,10149,27.5,572268,0,1125388,75233
IL,17,21,7,0,7,57353,212000,375507,33893,1,1,5912,259036,0,99299,649,10244,21902,7.0284035,34448,37967,399,50,19288,36406,0,28513,0,0,507,0,11440.78,572039,,0,8435,16357,34413,27.5,572039,1044,1125388,40955
IL,17,21,8,0,7,42228,212000,9060,34958,0,0,20789,333760,0,83800,2642,5143,31398,7.0284035,51793,25596,399,431,16390,71726,0,53105,0,0,1166,0,1325.902552,571464,,684,4063,17677,9889,27.5,518292,0,1125388,76518
IL,17,21,9,0,7,93565,212000,68833,28294,1,1,10078,323326,0,50264,1343,5673,32849,7.0284035,139263,32106,399,53,20851,44384,0,42697,0,0,183,0,10785.11321,571611,,0,5582,12023,15828,27.5,571611,0,1125388,61740
IL,17,21,10,0,7,59341,212000,35088,25298,0,1,13392,300033,0,81702,2180,8045,31985,7.0284035,61248,28767,399,244,16971,54090,0,58407,3,2,18457,1,2342.217213,571501,,20,3751,9576,9037,27.5,568093,610,1125388,64119
IL,17,21,11,0,7,75127,212000,48453,47282,1,0,18538,282360,0,86786,4395,4728,16992,7.0284035,23004,31159,399,2598,18094,54348,0,39073,0,0,393,1,219.8036952,571050,,10555,8337,14346,16358,27.5,350995,0,1125388,58130
IL,17,21,12,0,8,77491,212000,97202,39745,0,0,11689,259924,0,91024,4706,10631,14999,367.412212,8260,42307,399,2506,14907,37932,0,31003,2,1,6519,0,228.0291301,571441,,12515,16769,12625,22156,27.5,340143,0,1125388,50516
